old,new
custitemnumber_chem_lead,custitemnumber_sust_chem_lead
custitemnumber_chem_zinc,custitemnumber_sust_chem_zinc
custitemnumber_chem_aluminum,custitemnumber_sust_chem_aluminum
custitemnumber_chem_copper,custitemnumber_sust_chem_copper
custitemnumber_chem_total,custitemnumber_sust_chem_total
custitem_metal_type,custitem_sust_metal_type
custrecord_proc_gross_input,custrecord_sust_proc_gross_input
custrecord_proc_tare_estimate,custrecord_sust_proc_tare_estimate
custrecord_proc_tare_actual,custrecord_sust_proc_tare_actual
custitemnumber_chem_antimony,custitemnumber_sust_chem_antimony
custitemnumber_chem_bismuth,custitemnumber_sust_chem_bismuth
custrecord_penalty_amount,custrecord_sust_penalty_amount
custcol_lme_base,custcol_sust_lme_base
custbody_processing_record,custbody_sust_processing_record
custitemnumber_chem_locked,custitemnumber_sust_chem_locked
